t,Scenario2.GAS_PRICE,Scenario2.POWER_PRICE,Scenario2.HEAT_PRICE,Scenario2.heat_demand,Scenario2.heat_demand_scenario,Scenario2.delta_x,Scenario2.chp1.bin,Scenario2.chp1.power,Scenario2.chp1.gas,Scenario2.chp1.heat,Scenario2.chp1.eta_th,Scenario2.chp1.eta_el,Scenario2.chp1.y1,Scenario2.chp1.y2,Scenario2.boiler1.bin,Scenario2.boiler1.heat,Scenario2.boiler1.gas,Scenario2.boiler1.eta_th,Scenario2.boiler1.y1,Scenario2.boiler1.y2,Scenario2.heat_storage1.heat_charge,Scenario2.heat_storage1.bin_charge,Scenario2.heat_storage1.heat_discharge,Scenario2.heat_storage1.bin_discharge,Scenario2.heat_storage1.heat_balance,Scenario2.heat_storage1.heat_capacity,Scenario2.heat_storage1.delta_heat,Scenario2.ngas_grid.gas_balance,Scenario2.power_grid.power_balance,Scenario2.power_grid.power_supply,Scenario2.power_grid.power_feedin,Scenario2.heat_grid.heat_balance,Scenario2.heat_grid.heat_supply,Scenario2.heat_grid.heat_feedin,Scenario2.arc03_expanded.heat,Scenario2.arc04_expanded.heat,Scenario2.arc05_expanded.gas,Scenario2.arc06_expanded.gas
1,0.1543,0.251,0.105,79.26,70.86623290756835,8.39376709243166,1.0,49.27267202523922,146.57251881208504,82.60696451367988,0.5650018960316667,0.33469367371754666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.60696451367988,1.0,79.26,1.0,-3.346964513679879,3.346964513679879,0.0,146.57251881208504,-49.27267202523922,0.0,49.27267202523922,0.0,79.26,79.26,79.26,0.0,0.0,146.57251881208504
2,0.1543,0.251,0.105,88.85,107.39308425591857,-18.543084255918572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.85,81.767945072148,1.087301238726707,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.346964513679868,0.0,81.767945072148,0.0,0.0,0.0,0.0,88.85,88.85,0.0,88.85,81.767945072148,0.0
3,0.1543,0.251,0.105,166.62,185.1673941478988,-18.547394147898785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.62,155.47092654625885,1.072412837825806,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.346964513679868,0.0,155.47092654625885,0.0,0.0,0.0,0.0,166.62,166.62,0.0,166.62,155.47092654625885,0.0
4,0.1543,0.251,0.105,113.14,131.67987674634276,-18.539876746342756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113.14,104.78768816084698,1.0826511261140943,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.346964513679868,0.0,104.78768816084698,0.0,0.0,0.0,0.0,113.14,113.14,0.0,113.14,104.78768816084698,0.0
5,0.1543,0.251,0.105,118.94,110.54931808566268,8.390681914337321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118.94,110.28437444797444,1.081540765753734,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.346964513679868,0.0,110.28437444797444,0.0,0.0,0.0,0.0,118.94,118.94,0.0,118.94,110.28437444797444,0.0
6,0.1543,0.251,0.105,124.61,143.15753425155418,-18.547534251554183,1.0,26.372168284790554,93.85113268603713,58.0,0.6179999999651683,0.281000000010617,1.0,0.0,1.0,124.61,115.65785914589651,1.080455292780761,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,61.34696451367988,0.0,209.50899183193366,-26.372168284790554,0.0,26.372168284790554,0.0,124.61,124.61,0.0,124.61,115.65785914589651,93.85113268603713
7,0.1543,0.251,0.105,125.94,90.618475513098,35.32152448690199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.94,116.91830617381794,1.0802006756636438,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61.34696451367988,0.0,116.91830617381794,0.0,0.0,0.0,0.0,125.94,125.94,0.0,125.94,116.91830617381794,0.0
8,0.1543,0.251,0.105,118.99,110.5979908145095,8.392009185490494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118.99,110.33175967458762,1.0815311936816618,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61.34696451367988,0.0,110.33175967458762,0.0,0.0,0.0,0.0,118.99,118.99,0.0,118.99,110.33175967458762,0.0
9,0.1543,0.251,0.105,113.1,131.6453370689565,-18.545337068956513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113.1,104.74977997955645,1.0826587837717518,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61.34696451367988,0.0,104.74977997955645,0.0,0.0,0.0,0.0,113.1,113.1,0.0,113.1,104.74977997955645,0.0
10,0.1543,0.251,0.105,103.57,149.0499946289878,-45.47999462898781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.57,95.71815578708666,1.084483220708689,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61.34696451367988,0.0,95.71815578708666,0.0,0.0,0.0,0.0,103.57,103.57,0.0,103.57,95.71815578708666,0.0
11,0.1543,0.251,0.105,95.2,86.81149971934046,8.388500280659542,1.0,26.372168284790547,93.85113268603715,58.0,0.6179999999651684,0.281000000010617,1.0,0.0,1.0,95.2,87.78586885204238,1.0860855855735538,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,119.34696451367988,0.0,181.63700153807952,-26.372168284790547,0.0,26.372168284790547,0.0,95.2,95.2,0.0,95.2,87.78586885204238,93.85113268603715
12,0.1543,0.251,0.105,89.24,107.77996644714928,-18.539966447149283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.24,82.13754983975277,1.0872265765645448,1.0,0.0,0.0,1.0,0.0,1.0,0.0,119.34696451367988,0.0,82.13754983975277,0.0,0.0,0.0,0.0,89.24,89.24,0.0,89.24,82.13754983975277,0.0
13,0.1543,0.251,0.105,89.44,54.115890875852095,35.3241091241479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.44,82.32709074620544,1.0871882882762565,1.0,0.0,0.0,1.0,0.0,1.0,0.0,119.34696451367988,0.0,82.32709074620544,0.0,0.0,0.0,0.0,89.44,89.44,0.0,89.44,82.32709074620544,0.0
14,0.1543,0.251,0.105,96.07,114.6137145530201,-18.54371455302011,1.0,42.8986656758822,130.9559771481753,74.88303548631713,0.5734614373473497,0.3258663262577035,0.0,1.0,1.0,96.07,88.61037179511149,1.0859190315194998,1.0,0.0,74.88303548631713,1.0,0.0,1.0,-74.88303548631713,194.229999999997,0.0,219.56634894328678,-42.8986656758822,0.0,42.8986656758822,0.0,96.07,96.07,0.0,96.07,88.61037179511149,130.9559771481753
15,0.1543,0.251,0.105,94.83,86.43636711218484,8.393632887815158,1.0,26.372168284790003,93.85113268603598,58.0,0.6179999999651686,0.2810000000106151,1.0,0.0,1.0,94.83,87.43521817505825,1.086156418906887,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,252.2299999999965,0.0,181.28635086109423,-26.372168284790003,0.0,26.372168284790003,0.0,94.83,94.83,0.0,94.83,87.43521817505825,93.85113268603598
16,0.1543,0.251,0.105,108.25,99.86343492989056,8.386565070109441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.25,100.15341299807187,1.0835872747627429,1.0,0.0,0.0,1.0,0.0,1.0,0.0,252.2299999999965,0.0,100.15341299807187,0.0,0.0,0.0,0.0,108.25,108.25,0.0,108.25,100.15341299807187,0.0
17,0.1543,0.251,0.105,109.84,101.44504696902445,8.394953030975557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.84,101.66026320436504,1.083282882870851,1.0,0.0,0.0,1.0,0.0,1.0,0.0,252.2299999999965,0.0,101.66026320436504,0.0,0.0,0.0,0.0,109.84,109.84,0.0,109.84,101.66026320436504,0.0
18,0.1543,0.251,0.105,113.12,104.73125459748884,8.388745402511162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113.12,104.76873407020172,1.0826549549429232,1.0,0.0,0.0,1.0,0.0,1.0,0.0,252.22999999999647,0.0,104.76873407020172,0.0,0.0,0.0,0.0,113.12,113.12,0.0,113.12,104.76873407020172,0.0
19,0.1543,0.251,0.105,102.27,120.8089951999857,-18.538995199985706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.27,94.4861398951443,1.0847320945825627,1.0,0.0,0.0,1.0,0.0,1.0,0.0,252.22999999999647,0.0,94.4861398951443,0.0,0.0,0.0,0.0,102.27,102.27,0.0,102.27,94.4861398951443,0.0
20,0.1543,0.251,0.105,99.65,118.19482278702188,-18.54482278702187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.65,92.00315402061432,1.0852336711591393,1.0,0.0,0.0,1.0,0.0,1.0,0.0,252.2299999999965,0.0,92.00315402061432,0.0,0.0,0.0,0.0,99.65,99.65,0.0,99.65,92.00315402061432,0.0
21,0.1543,0.251,0.105,74.5,93.04518357076644,-18.54518357076644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.5,1.0,74.5,177.7299999999965,0.0,0.0,0.0,0.0,0.0,0.0,74.5,74.5,74.5,0.0,0.0,0.0
22,0.1543,0.251,0.105,71.97,90.51575707279684,-18.545757072796846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.97,1.0,71.97,105.75999999999652,0.0,0.0,0.0,0.0,0.0,0.0,71.97,71.97,71.97,0.0,0.0,0.0
23,0.1543,0.251,0.105,79.7,71.31419503097553,8.385804969024477,1.0,26.372168284790543,93.85113268603712,58.0,0.6179999999651684,0.2810000000106169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,79.7,1.0,21.7,84.05999999999653,0.0,93.85113268603712,-26.372168284790543,0.0,26.372168284790543,0.0,79.7,79.7,79.7,0.0,0.0,93.85113268603712
24,0.1543,0.251,0.105,84.06,102.60572558761336,-18.54572558761336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.06,1.0,84.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,84.06,84.06,0.0,0.0,0.0
