t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,heat_storage1.initial_soc,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
1,0.1543,0.251,0.105,160.49927580341392,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.499275803416808,1.0,24.499275803416822,295.5007241965832,117.03958691910134,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,160.49927580341392,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910134,24.499275803416808
2,0.1543,0.251,0.105,129.87935798150858,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,6.120642018488539,1.0,0.0,-0.0,-6.120642018488539,301.6213662150717,117.03958691910134,-76.10860556074476,0.0,76.10860556074476,0.0,6.120642018488539,136.0,37.21858864027672,38.89001692046804,68.0,68.0,0.0,0.0,117.03958691910134,0.0
3,0.1543,0.251,0.105,233.9185087424106,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,97.91850874241351,90.36221190822522,1.085565150355887,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,301.6213662150717,207.40179882732656,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,233.9185087424106,37.21858864027672,38.89001692046804,68.0,68.0,97.91850874241351,90.36221190822522,117.03958691910134,0.0
4,0.1543,0.251,0.105,413.5945687932658,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.317999999996065,1.0,0.0,1.0,38.89001692046736,115.05922165820232,68.0,0.5910000000035853,0.3380000000001399,1.0,0.0,1.0,174.0,162.46498599439482,1.07100000000252,1.0,0.0,0.0,0.0,103.59456879326581,1.0,103.59456879326581,198.0267974218059,279.5045729134952,-76.10860556074365,0.0,76.10860556074365,0.0,0.0,413.5945687932658,37.218588640276295,38.89001692046736,68.0,68.0,174.0,162.46498599439482,117.0395869191004,103.59456879326581
5,0.1543,0.251,0.105,296.64735798401,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,174.0,162.46498599439758,1.0710000000025195,1.0,0.0,13.35264201599,1.0,0.0,-0.0,-13.35264201599,211.3794394377959,279.5045729134989,-76.10860556074476,0.0,76.10860556074476,0.0,13.35264201599,310.0,37.21858864027672,38.89001692046804,68.0,68.0,174.0,162.46498599439758,117.03958691910134,0.0
6,0.1543,0.251,0.105,278.5348949598071,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,142.53489495981,132.64536333966421,1.0770237250665204,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,211.3794394377959,249.68495025876555,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,278.5348949598071,37.21858864027672,38.89001692046804,68.0,68.0,142.53489495981,132.64536333966421,117.03958691910134,0.0
7,0.1543,0.251,0.105,254.62022408795372,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,118.62022408795661,109.98132136682229,1.0816019841298257,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,211.3794394377959,227.0209082859236,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,254.62022408795372,37.21858864027672,38.89001692046804,68.0,68.0,118.62022408795661,109.98132136682229,117.03958691910134,0.0
8,0.1543,0.251,0.105,259.4489884765845,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,123.44898847658737,114.55756326315955,1.0806775585148851,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,211.3794394377959,231.5971501822609,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,259.4489884765845,37.21858864027672,38.89001692046804,68.0,68.0,123.44898847658737,114.55756326315955,117.03958691910134,0.0
9,0.1543,0.251,0.105,209.28115052429519,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,112.36715261605136,104.05525719233097,1.0827990811458437,1.0,0.0,39.08600209175327,1.0,0.0,-0.0,-39.08600209175327,250.46544152954917,221.0948441114323,-76.10860556074476,0.0,76.10860556074476,0.0,39.08600209175327,248.36715261604846,37.21858864027672,38.89001692046804,68.0,68.0,112.36715261605136,104.05525719233097,117.03958691910134,0.0
10,0.1543,0.251,0.105,221.7446043393616,320.0,1.0,37.21858864027672,117.03958691910134,68.0,0.5809999999942707,0.317999999999303,1.0,0.0,1.0,38.89001692046804,115.0592216581949,68.0,0.5910000000035975,0.33800000000336383,1.0,0.0,1.0,85.74460433936446,78.8249475301148,1.087895740162777,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,250.46544152954917,195.86453444921614,-76.10860556074476,0.0,76.10860556074476,0.0,0.0,221.7446043393616,37.21858864027672,38.89001692046804,68.0,68.0,85.74460433936446,78.8249475301148,117.03958691910134,0.0
