t,Scenario3.GAS_PRICE,Scenario3.POWER_PRICE,Scenario3.HEAT_PRICE,Scenario3.heat_demand,Scenario3.heat_demand_scenario,Scenario3.delta_heat_demand,Scenario3.probability,Scenario3.heat_storage1.initial_soc,Scenario3.chp1.bin,Scenario3.chp1.power,Scenario3.chp1.gas,Scenario3.chp1.heat,Scenario3.chp1.eta_th,Scenario3.chp1.eta_el,Scenario3.chp1.y1,Scenario3.chp1.y2,Scenario3.chp2.bin,Scenario3.chp2.power,Scenario3.chp2.gas,Scenario3.chp2.heat,Scenario3.chp2.eta_th,Scenario3.chp2.eta_el,Scenario3.chp2.y1,Scenario3.chp2.y2,Scenario3.boiler1.bin,Scenario3.boiler1.heat,Scenario3.boiler1.gas,Scenario3.boiler1.eta_th,Scenario3.boiler1.y1,Scenario3.boiler1.y2,Scenario3.heat_storage1.heat_charge,Scenario3.heat_storage1.bin_charge,Scenario3.heat_storage1.heat_discharge,Scenario3.heat_storage1.bin_discharge,Scenario3.heat_storage1.heat_balance,Scenario3.heat_storage1.heat_capacity,Scenario3.heat_storage1.dispatch_heat_capacity,Scenario3.heat_storage1.dispatch_heat_charge,Scenario3.heat_storage1.dispatch_heat_discharge,Scenario3.heat_storage1.dispatch_storage_capacity,Scenario3.heat_storage1.dispatch_extension,Scenario3.heat_storage1.use_extension,Scenario3.ngas_grid.gas_balance,Scenario3.power_grid.power_balance,Scenario3.power_grid.power_supply,Scenario3.power_grid.power_feedin,Scenario3.heat_grid.heat_balance,Scenario3.heat_grid.heat_supply,Scenario3.heat_grid.heat_feedin,Scenario3.heat_grid.dispatch_heat_feedin,Scenario3.heat_grid.dispatch_heat_supply,Scenario3.heat_grid.dispatch_heat_balance,Scenario3.arc01_expanded.power,Scenario3.arc02_expanded.power,Scenario3.arc03_expanded.heat,Scenario3.arc04_expanded.heat,Scenario3.arc05_expanded.heat,Scenario3.arc06_expanded.gas,Scenario3.arc07_expanded.gas,Scenario3.arc08_expanded.heat
1,0.1543,0.251,0.105,42.93003346987888,8.753729885355696,34.17630358452318,0.1338636437770138,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968184,0.3200000000069869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06996653012169,1.0,0.0,0.0,-32.06996653012169,352.0699665301217,386.24627011464486,34.17630358452318,0.0,386.24627011464486,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,32.06996653012169,75.0,0.0,34.17630358452318,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
2,0.1543,0.251,0.105,49.94433894410759,41.22663700423778,8.717701939869812,0.1338636437770138,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94433894410761,1.0,49.944338944107585,302.1256275860141,310.8433295258839,8.717701939869812,0.0,310.8433295258839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94433894410759,0.0,8.717701939869812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94433894410761
3,0.1543,0.251,0.105,94.03254851258028,98.32160197998718,-4.289053467406902,0.1338636437770138,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96745148741974,1.0,0.0,0.0,-48.96745148741974,351.09307907343384,346.8040256060269,0.0,4.289053467406902,346.8040256060269,0.0,0.0,117.0395869191004,-75.31382673551299,0.0,75.31382673551299,0.0,48.96745148741974,143.0,4.289053467406902,0.0,0.0,37.21858864027628,38.095238095238095,68.0,75.0,0.0,0.0,117.0395869191004,0.0
4,0.1543,0.251,0.105,61.41195546034911,50.19259993157386,11.219355528775253,0.1338636437770138,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.411955460349134,1.0,61.411955460349134,289.6811236130847,300.90047914185993,11.219355528775253,0.0,300.90047914185993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.41195546034911,0.0,11.219355528775253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.411955460349134
5,0.1543,0.251,0.105,61.56012998504249,40.60080510400729,20.959324881035194,0.1338636437770138,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.439870014957513,1.0,0.0,0.0,-6.439870014957513,296.12099362804224,317.0803185090774,20.959324881035194,0.0,317.0803185090774,0.0,0.0,117.0395869191004,-37.21858864027628,0.0,37.21858864027628,0.0,6.439870014957513,68.0,0.0,20.959324881035194,0.0,37.21858864027628,0.0,68.0,0.0,0.0,0.0,117.0395869191004,0.0
6,0.1543,0.251,0.105,59.83390960925733,56.68356475790367,3.1503448513536654,0.1338636437770138,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942642,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.166090390744966,1.0,0.0,0.0,-8.166090390744955,304.2870840187872,307.4374288701409,3.1503448513536654,0.0,307.4374288701409,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,8.166090390744966,68.0,0.0,3.1503448513536654,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
7,0.1543,0.251,0.105,65.23056888226175,53.565044265657434,11.665524616604316,0.1338636437770138,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769431117740325,1.0,0.0,0.0,-2.7694311177403392,307.05651513652754,318.72203975313187,11.665524616604316,0.0,318.72203975313187,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,2.769431117740325,68.0,0.0,11.665524616604316,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
8,0.1543,0.251,0.105,66.69433674045136,110.68623525214927,-43.99189851169791,0.1338636437770138,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3056632595486377,1.0,0.0,0.0,-1.3056632595486377,308.36217839607616,264.37027988437825,0.0,43.99189851169791,264.37027988437825,0.0,0.0,117.0395869191004,-37.21858864027628,0.0,37.21858864027628,0.0,1.3056632595486377,68.0,43.99189851169791,0.0,0.0,37.21858864027628,0.0,68.0,0.0,0.0,0.0,117.0395869191004,0.0
9,0.1543,0.251,0.105,62.310574204857,58.05584407340426,4.254730131452739,0.1338636437770138,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.689425795145077,1.0,0.0,0.0,-5.689425795145077,314.05160419122126,318.306334322674,4.254730131452739,0.0,318.306334322674,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,5.689425795145077,68.0,0.0,4.254730131452739,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
10,0.1543,0.251,0.105,53.81529693810797,102.2221258017332,-48.40682886362523,0.1338636437770138,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942643,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.184703061894147,1.0,0.0,0.0,-14.184703061894147,328.2363072531154,279.8294783894902,0.0,48.40682886362523,279.8294783894902,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,14.184703061894147,68.0,48.40682886362523,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
