t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch,Scenario1.heat_storage1.dispatch_delta_heat_charge,Scenario1.heat_storage1.dispatch_delta_heat_discharge,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
1,0.1543,0.105,0.05,86.89020582132288,95.60319336346564,-8.712987542142756,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,87.10979417867712,1.0,0.0,0.0,-87.10979417867712,87.10979417867712,-8.712987542142756,0.0,8.712987542142756,69.68381909439161,162.46498599439482,0.0,0.0,0.0,0.0,87.10979417867712,174.0,-8.712987542142756,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
2,0.1543,0.105,0.05,102.67012913651094,93.95242719664112,8.717701939869812,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.60807173924454,142.49418906230397,80.5898258785344,0.5672111431082572,0.3323883724202353,0.0,1.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,151.91969674202346,1.0,0.0,0.0,-151.91969674202346,239.02949092070057,8.717701939869812,8.717701939869812,0.0,239.03891971615468,162.46498599439482,-47.60807173924454,0.0,47.60807173924454,0.0,151.91969674202346,254.58982587853438,8.717701939869812,0.0,47.60807173924454,0.0,80.5898258785344,174.0,162.46498599439482,0.0,0.0
3,0.1543,0.105,0.05,197.10818009752964,235.73627155394212,-38.62809145641248,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439522,1.070999999987968,1.0,0.0,0.0,0.0,23.108180097529257,1.0,23.108180097529242,215.92131082317132,-38.62809145641248,0.0,38.62809145641248,138.67455670580048,162.46498599439522,0.0,0.0,0.0,0.0,0.0,197.10818009752964,-38.62809145641248,0.0,0.0,0.0,0.0,174.0,162.46498599439522,0.0,23.108180097529257
4,0.1543,0.105,0.05,131.41110425250923,120.19174872373398,11.219355528775253,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439533,1.070999999987968,1.0,0.0,42.58889574749131,1.0,0.0,0.0,-42.58889574749131,258.5102065706626,11.219355528775253,11.219355528775253,0.0,203.7021635108423,162.46498599439533,0.0,0.0,0.0,0.0,42.58889574749131,174.0,11.219355528775253,0.0,0.0,0.0,0.0,174.0,162.46498599439533,0.0,0.0
5,0.1543,0.105,0.05,134.36278677058627,139.02475026467286,-4.661963494086592,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,39.63721322941373,1.0,0.0,0.0,-39.63721322941376,298.14741980007636,-4.661963494086592,0.0,4.661963494086592,234.01544975208284,162.46498599439482,0.0,0.0,0.0,0.0,39.63721322941373,174.0,-4.661963494086592,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
6,0.1543,0.105,0.05,133.35488413447985,156.4545691895976,-23.09968505511776,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,40.645115865520154,1.0,0.0,0.0,-40.645115865520154,338.7925356655965,-23.09968505511776,0.0,23.09968505511776,228.46119550736748,162.46498599439482,0.0,0.0,0.0,0.0,40.645115865520154,174.0,-23.09968505511776,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
7,0.1543,0.105,0.05,148.67082790766605,112.41603177991018,36.25479612775587,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,25.32917209233395,1.0,0.0,0.0,-25.32917209233395,364.12170775793044,36.25479612775587,36.25479612775587,0.0,326.29995985521316,162.46498599439482,0.0,0.0,0.0,0.0,25.32917209233395,174.0,36.25479612775587,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
8,0.1543,0.105,0.05,155.76612945938308,120.32240239695605,35.44372706242703,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,18.23387054061692,1.0,0.0,0.0,-18.23387054061692,382.35557829854736,35.44372706242703,35.44372706242703,0.0,415.42128452068414,162.46498599439482,0.0,0.0,0.0,0.0,18.23387054061692,174.0,35.44372706242703,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
9,0.1543,0.105,0.05,149.41335246313022,170.09670614654394,-20.683353683413713,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,24.586647536869776,1.0,0.0,0.0,-24.586647536869805,406.94222583541716,-20.683353683413713,0.0,20.683353683413713,398.6412246907265,162.46498599439482,0.0,0.0,0.0,0.0,24.586647536869776,174.0,-20.683353683413713,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
10,0.1543,0.105,0.05,132.52799498318225,93.55047952641544,38.97751545676681,0.9505464601369504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,41.47200501681775,1.0,0.0,0.0,-41.472005016817775,448.41423085223494,38.97751545676681,38.97751545676681,0.0,518.0682606210779,162.46498599439482,0.0,0.0,0.0,0.0,41.47200501681775,174.0,38.97751545676681,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
