t,Scenario6.GAS_PRICE,Scenario6.POWER_PRICE,Scenario6.HEAT_PRICE,Scenario6.heat_demand,Scenario6.heat_demand_scenario,Scenario6.delta_heat_demand,Scenario6.probability,Scenario6.heat_storage1.initial_soc,Scenario6.chp1.bin,Scenario6.chp1.power,Scenario6.chp1.gas,Scenario6.chp1.heat,Scenario6.chp1.eta_th,Scenario6.chp1.eta_el,Scenario6.chp1.y1,Scenario6.chp1.y2,Scenario6.chp2.bin,Scenario6.chp2.power,Scenario6.chp2.gas,Scenario6.chp2.heat,Scenario6.chp2.eta_th,Scenario6.chp2.eta_el,Scenario6.chp2.y1,Scenario6.chp2.y2,Scenario6.boiler1.bin,Scenario6.boiler1.heat,Scenario6.boiler1.gas,Scenario6.boiler1.eta_th,Scenario6.boiler1.y1,Scenario6.boiler1.y2,Scenario6.heat_storage1.heat_charge,Scenario6.heat_storage1.bin_charge,Scenario6.heat_storage1.heat_discharge,Scenario6.heat_storage1.bin_discharge,Scenario6.heat_storage1.heat_balance,Scenario6.heat_storage1.heat_capacity,Scenario6.heat_storage1.dispatch_heat_capacity,Scenario6.heat_storage1.dispatch_heat_charge,Scenario6.heat_storage1.dispatch_heat_discharge,Scenario6.heat_storage1.dispatch_storage_capacity,Scenario6.heat_storage1.dispatch_extension,Scenario6.heat_storage1.use_extension,Scenario6.ngas_grid.gas_balance,Scenario6.power_grid.power_balance,Scenario6.power_grid.power_supply,Scenario6.power_grid.power_feedin,Scenario6.heat_grid.heat_balance,Scenario6.heat_grid.heat_supply,Scenario6.heat_grid.heat_feedin,Scenario6.heat_grid.dispatch_heat_feedin,Scenario6.heat_grid.dispatch_heat_supply,Scenario6.heat_grid.dispatch_heat_balance,Scenario6.arc01_expanded.power,Scenario6.arc02_expanded.power,Scenario6.arc03_expanded.heat,Scenario6.arc04_expanded.heat,Scenario6.arc05_expanded.heat,Scenario6.arc06_expanded.gas,Scenario6.arc07_expanded.gas,Scenario6.arc08_expanded.heat
1,0.1543,0.251,0.105,115.09819676627974,102.36653874508951,12.731658021190228,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910748,68.0,0.5809999999943074,0.3179999999993208,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967815,0.3200000000069758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.901803233722433,1.0,0.0,0.0,-27.901803233722433,347.90180323372243,360.6334612549127,12.731658021190228,0.0,360.6334612549127,0.0,-0.0,117.03958691910748,-75.31382673551525,0.0,75.31382673551525,0.0,27.901803233722433,143.0,0.0,12.731658021190228,0.0,37.21858864027854,38.095238095238095,68.0,75.0,0.0,0.0,117.03958691910748,0.0
2,0.1543,0.251,0.105,138.89032490302077,108.06877502492875,30.821549878092014,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.109675096981292,1.0,0.0,0.0,-4.109675096981277,352.0114783307037,382.8330282087957,30.821549878092014,0.0,382.8330282087957,0.0,-0.0,117.03958691910523,-75.31382673551525,0.0,75.31382673551525,0.0,4.109675096981292,143.0,0.0,30.821549878092014,0.0,37.21858864027854,38.095238095238095,68.0,75.0,0.0,0.0,117.03958691910523,0.0
3,0.1543,0.251,0.105,275.27240084627414,313.90049230268664,-38.628091456412506,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.3200000000069758,1.0,0.0,1.0,118.78212884392869,110.13475923785201,1.081570988849966,1.0,0.0,0.0,0.0,13.490272002345307,1.0,13.490272002345307,338.5212063283584,299.8931148719459,0.0,38.628091456412506,299.8931148719459,0.0,0.0,227.17434615695726,-75.31382673551525,0.0,75.31382673551525,0.0,0.0,275.27240084627414,38.628091456412506,0.0,0.0,37.21858864027854,38.095238095238095,68.0,75.0,118.78212884392869,110.13475923785201,117.03958691910523,13.490272002345307
4,0.1543,0.251,0.105,191.26946732977447,210.81820447883234,-19.54873714905787,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.3200000000069758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26946732977436,1.0,48.269467329774386,290.251738998584,270.7030018495261,0.0,19.54873714905787,270.7030018495261,0.0,0.0,117.03958691910523,-75.31382673551525,0.0,75.31382673551525,0.0,0.0,191.26946732977447,19.54873714905787,0.0,0.0,37.21858864027854,38.095238095238095,68.0,75.0,0.0,0.0,117.03958691910523,48.26946732977436
5,0.1543,0.251,0.105,207.0948218381289,211.7567853322155,-4.661963494086592,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.32000000000697576,1.0,0.0,1.0,85.2,78.30882352940881,1.08800000000252,1.0,0.0,21.105178161871223,1.0,0.0,0.0,-21.10517816187121,311.3569171604552,306.69495366636863,0.0,4.661963494086592,306.69495366636863,0.0,0.0,195.34841044851404,-75.31382673551525,0.0,75.31382673551525,0.0,21.105178161871223,228.2,4.661963494086592,0.0,0.0,37.21858864027854,38.095238095238095,68.0,75.0,85.2,78.30882352940881,117.03958691910523,0.0
6,0.1543,0.251,0.105,203.75333223740265,200.602987386049,3.150344851353651,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.32000000000697576,1.0,0.0,1.0,85.2,78.30882352941124,1.0880000000025196,1.0,0.0,24.44666776260003,1.0,0.0,0.0,-24.446667762600043,335.80358492305527,338.95392977440895,3.150344851353651,0.0,338.95392977440895,0.0,-0.0,195.34841044851646,-75.31382673551525,0.0,75.31382673551525,0.0,24.44666776260003,228.2,0.0,3.150344851353651,0.0,37.21858864027854,38.095238095238095,68.0,75.0,85.2,78.30882352941124,117.03958691910523,0.0
7,0.1543,0.251,0.105,200.25838105081868,164.00358492306282,36.25479612775587,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.32000000000697576,1.0,0.0,1.0,85.2,78.30882352941592,1.0880000000025873,1.0,0.0,27.941618949185532,1.0,0.0,0.0,-27.941618949189092,363.74520387224436,400.0,36.25479612775587,0.0,400.0,0.0,-0.0,195.34841044852115,-75.31382673551525,0.0,75.31382673551525,0.0,27.941618949185532,228.2,0.0,36.25479612775587,0.0,37.21858864027854,38.095238095238095,68.0,75.0,85.2,78.30882352941592,117.03958691910523,0.0
8,0.1543,0.251,0.105,187.7182568280963,205.23161348175256,-17.513356653656274,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.3200000000069758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.71825682809591,1.0,44.71825682809591,319.0269470441482,301.5135903904919,0.0,17.513356653656274,301.5135903904919,0.0,0.0,117.03958691910523,-75.31382673551525,0.0,75.31382673551525,0.0,0.0,187.7182568280963,17.513356653656274,0.0,0.0,37.21858864027854,38.095238095238095,68.0,75.0,0.0,0.0,117.03958691910523,44.71825682809591
9,0.1543,0.251,0.105,183.58081785643543,179.3260877249827,4.254730131452732,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967815,0.3200000000069758,1.0,0.0,1.0,85.22917672518922,78.33647444410724,1.0879944143681934,1.0,0.0,44.64835886875392,1.0,0.0,0.0,-44.64835886875392,363.6753059129021,367.93003604435484,4.254730131452732,0.0,367.93003604435484,0.0,-0.0,195.37606136321247,-75.31382673551525,0.0,75.31382673551525,0.0,44.64835886875392,228.22917672518935,0.0,4.254730131452732,0.0,37.21858864027854,38.095238095238095,68.0,75.0,85.22917672518922,78.33647444410724,117.03958691910523,0.0
10,0.1543,0.251,0.105,165.74976194181525,126.77224648504844,38.97751545676681,0.1346094839404995,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999967814,0.3200000000069758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.749761941815137,1.0,22.749761941815166,340.92554397108694,379.90305942785375,38.97751545676681,0.0,379.90305942785375,0.0,-0.0,117.03958691910523,-75.31382673551525,0.0,75.31382673551525,0.0,0.0,165.74976194181525,0.0,38.97751545676681,0.0,37.21858864027854,38.095238095238095,68.0,75.0,0.0,0.0,117.03958691910523,22.749761941815137
