t,Scenario5.GAS_PRICE,Scenario5.POWER_PRICE,Scenario5.HEAT_PRICE,Scenario5.heat_demand,Scenario5.heat_demand_scenario,Scenario5.delta_heat_demand,Scenario5.probability,Scenario5.heat_storage1.initial_soc,Scenario5.chp1.bin,Scenario5.chp1.power,Scenario5.chp1.gas,Scenario5.chp1.heat,Scenario5.chp1.eta_th,Scenario5.chp1.eta_el,Scenario5.chp1.y1,Scenario5.chp1.y2,Scenario5.chp2.bin,Scenario5.chp2.power,Scenario5.chp2.gas,Scenario5.chp2.heat,Scenario5.chp2.eta_th,Scenario5.chp2.eta_el,Scenario5.chp2.y1,Scenario5.chp2.y2,Scenario5.boiler1.bin,Scenario5.boiler1.heat,Scenario5.boiler1.gas,Scenario5.boiler1.eta_th,Scenario5.boiler1.y1,Scenario5.boiler1.y2,Scenario5.heat_storage1.heat_charge,Scenario5.heat_storage1.bin_charge,Scenario5.heat_storage1.heat_discharge,Scenario5.heat_storage1.bin_discharge,Scenario5.heat_storage1.heat_balance,Scenario5.heat_storage1.heat_capacity,Scenario5.heat_storage1.dispatch_heat_capacity,Scenario5.heat_storage1.dispatch_heat_charge,Scenario5.heat_storage1.dispatch_heat_discharge,Scenario5.ngas_grid.gas_balance,Scenario5.power_grid.power_balance,Scenario5.power_grid.power_supply,Scenario5.power_grid.power_feedin,Scenario5.heat_grid.heat_balance,Scenario5.heat_grid.heat_supply,Scenario5.heat_grid.heat_feedin,Scenario5.heat_grid.dispatch_heat_feedin,Scenario5.heat_grid.dispatch_heat_supply,Scenario5.heat_grid.dispatch_heat_balance,Scenario5.arc01_expanded.power,Scenario5.arc02_expanded.power,Scenario5.arc03_expanded.heat,Scenario5.arc04_expanded.heat,Scenario5.arc05_expanded.heat,Scenario5.arc06_expanded.gas,Scenario5.arc07_expanded.gas,Scenario5.arc08_expanded.heat
1,0.1543,0.251,0.105,38.80321860304693,47.51620614518968,-8.712987542142749,0.0812494619506088,320.0,1.0,37.218588640277396,117.03958691910165,68.0,0.5809999999942466,0.31799999999929945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.19678139695307,1.0,0.0,0.0,-29.196781396953043,349.19678139695304,340.4837938548103,0.0,8.712987542142749,117.03958691910165,-37.218588640277396,0.0,37.218588640277396,0.0,29.19678139695307,68.0,8.712987542142749,0.0,0.0,37.218588640277396,0.0,68.0,0.0,0.0,0.0,117.03958691910165,0.0
2,0.1543,0.251,0.105,46.88090613447741,38.163204194607594,8.717701939869812,0.0812494619506088,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11909386552467,1.0,0.0,0.0,-21.11909386552467,370.31587526247773,370.3205896602048,8.717701939869812,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,21.11909386552467,68.0,0.0,8.717701939869812,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
3,0.1543,0.251,0.105,92.88399926831568,131.51209072472815,-38.62809145641248,0.0812494619506088,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942643,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8839992683136,1.0,24.88399926831363,345.4318759941641,306.8084989354787,0.0,38.62809145641248,0.0,-37.21858864027854,0.0,37.21858864027854,0.0,0.0,92.88399926831568,38.62809145641248,0.0,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,24.8839992683136
4,0.1543,0.251,0.105,62.08144636603679,50.86209083726154,11.219355528775253,0.0812494619506088,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.918553633965279,1.0,0.0,0.0,-5.918553633965279,351.3504296281294,323.94640809821925,11.219355528775253,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,5.918553633965279,68.0,0.0,11.219355528775253,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
5,0.1543,0.251,0.105,68.58174252850482,98.8649943977132,-30.283251869208385,0.0812494619506088,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581742528502744,1.0,0.581742528502744,350.7686870996267,293.0814137005081,0.0,30.283251869208385,0.0,-37.21858864027854,0.0,37.21858864027854,0.0,0.0,68.58174252850482,30.283251869208385,0.0,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,0.581742528502744
6,0.1543,0.251,0.105,66.05539330483214,36.65501854700703,29.400374757825105,0.0812494619506088,320.0,1.0,37.218588640278476,117.03958691910502,68.0,0.5809999999942635,0.31799999999930867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.944606695169938,1.0,0.0,0.0,-1.9446066951699663,352.71329379479664,324.42639515350317,29.400374757825105,0.0,117.03958691910502,-37.218588640278476,0.0,37.218588640278476,0.0,1.944606695169938,68.0,0.0,29.400374757825105,0.0,37.218588640278476,0.0,68.0,0.0,0.0,0.0,117.03958691910502,0.0
7,0.1543,0.251,0.105,64.07779591257393,27.82299978481806,36.254796127755874,0.0812494619506088,320.0,1.0,35.688474339058644,113.76837076831467,66.58929098166128,0.5862196233621254,0.31278037663144825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5114950690873457,1.0,0.0,0.0,-2.5114950690873457,355.224788863884,363.1926863503464,36.254796127755874,0.0,113.76837076831467,-35.688474339058644,0.0,35.688474339058644,0.0,2.5114950690873457,66.58929098166128,0.0,36.254796127755874,0.0,35.688474339058644,0.0,66.58929098166128,0.0,0.0,0.0,113.76837076831467,0.0
8,0.1543,0.251,0.105,56.836145404267846,74.3495020579241,-17.513356653656253,0.0812494619506088,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027854,117.0395869191052,68.0,0.5809999999942645,0.3179999999993092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.163854595734229,1.0,0.0,0.0,-11.163854595734222,366.3886434596182,356.8431842924244,0.0,17.513356653656253,0.0,-37.21858864027854,0.0,37.21858864027854,0.0,11.163854595734229,68.0,17.513356653656253,0.0,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,0.0
9,0.1543,0.251,0.105,54.47261182058495,50.21788168913221,4.254730131452739,0.0812494619506088,320.0,1.0,37.21858864027854,117.0395869191052,68.0,0.5809999999942645,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.527388179417123,1.0,0.0,0.0,-13.527388179417123,379.91603163903534,374.62530260329424,4.254730131452739,0.0,117.0395869191052,-37.21858864027854,0.0,37.21858864027854,0.0,13.527388179417123,68.0,0.0,4.254730131452739,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.0395869191052,0.0
10,0.1543,0.251,0.105,47.91603163903743,38.066630955734624,9.849400683302804,0.0812494619506088,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864027854,117.0395869191052,68.0,0.5809999999942645,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.083968360964647,1.0,0.0,0.0,-20.08396836096466,400.0,404.5586716475617,9.849400683302804,0.0,0.0,-37.21858864027854,0.0,37.21858864027854,0.0,20.083968360964647,68.0,0.0,9.849400683302804,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,0.0
