t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.heat_storage1.initial_soc,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.heat_storage1.dispatch_heat_charge,Scenario1.heat_storage1.dispatch_heat_discharge,Scenario1.heat_storage1.dispatch_storage_capacity,Scenario1.heat_storage1.dispatch_extension,Scenario1.heat_storage1.use_extension,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.heat_grid.dispatch_heat_supply,Scenario1.heat_grid.dispatch_heat_balance,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
1,0.1543,0.251,0.105,42.93003346987888,51.64302101202163,-8.712987542142749,0.0630221750342683,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968193,0.3200000000069863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06996653012152,1.0,0.0,0.0,-32.06996653012152,352.0699665301215,343.3569789879788,0.0,8.712987542142749,343.3569789879788,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,32.06996653012152,75.0,8.712987542142749,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
2,0.1543,0.251,0.105,49.94433894410759,41.22663700423778,8.717701939869812,0.0630221750342683,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94433894410761,1.0,49.94433894410764,302.1256275860139,310.8433295258837,8.717701939869812,0.0,310.8433295258837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94433894410759,0.0,8.717701939869812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94433894410761
3,0.1543,0.251,0.105,94.03254851258028,98.32160197998718,-4.289053467406902,0.0630221750342683,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968207,0.3200000000069849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96745148741974,1.0,0.0,0.0,-48.96745148741974,351.0930790734336,346.8040256060267,0.0,4.289053467406902,346.8040256060267,0.0,0.0,117.0395869191004,-75.31382673551299,0.0,75.31382673551299,0.0,48.96745148741974,143.0,4.289053467406902,0.0,0.0,37.21858864027628,38.095238095238095,68.0,75.0,0.0,0.0,117.0395869191004,0.0
4,0.1543,0.251,0.105,61.41195546034911,80.96069260940698,-19.548737149057864,0.0630221750342683,320.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.411955460349134,1.0,61.41195546034919,289.6811236130844,270.1323864640266,0.0,19.548737149057864,270.1323864640266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.41195546034911,19.548737149057864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.411955460349134
5,0.1543,0.251,0.105,61.56012998504249,66.22209347912909,-4.661963494086599,0.0630221750342683,320.0,1.0,37.21858864027628,117.0395869191126,68.0,0.5809999999942722,0.3179999999993015,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.439870014957673,1.0,0.0,-0.0,-6.439870014957673,296.1209936280422,291.4590301339556,0.0,4.661963494086599,291.4590301339556,0.0,0.0,117.0395869191126,-37.21858864027628,0.0,37.21858864027628,0.0,6.439870014957673,68.0,4.661963494086599,0.0,0.0,37.21858864027628,0.0,68.0,0.0,0.0,0.0,117.0395869191126,0.0
6,0.1543,0.251,0.105,59.83390960925733,56.68356475790367,3.1503448513536654,0.0630221750342683,320.0,1.0,33.680203908389416,109.47490938263738,64.73773962660661,0.5930703633758276,0.30592963661774597,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.903830017349264,1.0,0.0,-0.0,-4.9038300173492075,301.0248236453914,304.1751684967451,3.1503448513536654,0.0,304.1751684967451,0.0,0.0,109.47490938263738,-33.680203908389416,0.0,33.680203908389416,0.0,4.903830017349264,64.7377396266066,0.0,3.1503448513536654,0.0,33.680203908389416,0.0,64.73773962660661,0.0,0.0,0.0,109.47490938263738,0.0
7,0.1543,0.251,0.105,65.23056888226175,53.565044265657434,11.665524616604316,0.0630221750342683,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769431117740332,1.0,0.0,-0.0,-2.7694311177403392,303.79425476313173,315.45977937973606,11.665524616604316,0.0,315.45977937973606,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,2.769431117740332,68.0,0.0,11.665524616604316,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
8,0.1543,0.251,0.105,66.69433674045136,84.20769339410762,-17.51335665365626,0.0630221750342683,320.0,1.0,37.21858864027628,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3056632595486377,1.0,0.0,-0.0,-1.3056632595486377,305.09991802268036,287.5865613690241,0.0,17.51335665365626,287.5865613690241,0.0,0.0,117.0395869191004,-37.21858864027628,0.0,37.21858864027628,0.0,1.3056632595486377,68.0,17.51335665365626,0.0,0.0,37.21858864027628,0.0,68.0,0.0,0.0,0.0,117.0395869191004,0.0
9,0.1543,0.251,0.105,62.310574204857,58.05584407340426,4.254730131452739,0.0630221750342683,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.689425795143057,1.0,0.0,-0.0,-5.689425795143057,310.78934381782545,315.0440739492782,4.254730131452739,0.0,315.0440739492782,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,5.689425795143057,68.0,0.0,4.254730131452739,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
10,0.1543,0.251,0.105,53.81529693810797,43.965896254805166,9.849400683302804,0.0630221750342683,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.184703061894112,1.0,0.0,-0.0,-14.184703061894112,324.97404687971954,334.82344756302234,9.849400683302804,0.0,334.82344756302234,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,14.184703061894112,68.0,0.0,9.849400683302804,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
