t,Scenario7.GAS_PRICE,Scenario7.POWER_PRICE,Scenario7.HEAT_PRICE,Scenario7.heat_demand,Scenario7.heat_demand_scenario,Scenario7.delta_heat_demand,Scenario7.probability,Scenario7.heat_storage1.initial_soc,Scenario7.chp1.bin,Scenario7.chp1.power,Scenario7.chp1.gas,Scenario7.chp1.heat,Scenario7.chp1.eta_th,Scenario7.chp1.eta_el,Scenario7.chp1.y1,Scenario7.chp1.y2,Scenario7.chp2.bin,Scenario7.chp2.power,Scenario7.chp2.gas,Scenario7.chp2.heat,Scenario7.chp2.eta_th,Scenario7.chp2.eta_el,Scenario7.chp2.y1,Scenario7.chp2.y2,Scenario7.boiler1.bin,Scenario7.boiler1.heat,Scenario7.boiler1.gas,Scenario7.boiler1.eta_th,Scenario7.boiler1.y1,Scenario7.boiler1.y2,Scenario7.heat_storage1.heat_charge,Scenario7.heat_storage1.bin_charge,Scenario7.heat_storage1.heat_discharge,Scenario7.heat_storage1.bin_discharge,Scenario7.heat_storage1.heat_balance,Scenario7.heat_storage1.heat_capacity,Scenario7.heat_storage1.dispatch_heat_capacity,Scenario7.heat_storage1.dispatch_heat_charge,Scenario7.heat_storage1.dispatch_heat_discharge,Scenario7.heat_storage1.dispatch_storage_capacity,Scenario7.heat_storage1.dispatch_extension,Scenario7.heat_storage1.use_extension,Scenario7.ngas_grid.gas_balance,Scenario7.power_grid.power_balance,Scenario7.power_grid.power_supply,Scenario7.power_grid.power_feedin,Scenario7.heat_grid.heat_balance,Scenario7.heat_grid.heat_supply,Scenario7.heat_grid.heat_feedin,Scenario7.heat_grid.dispatch_heat_feedin,Scenario7.heat_grid.dispatch_heat_supply,Scenario7.heat_grid.dispatch_heat_balance,Scenario7.arc01_expanded.power,Scenario7.arc02_expanded.power,Scenario7.arc03_expanded.heat,Scenario7.arc04_expanded.heat,Scenario7.arc05_expanded.heat,Scenario7.arc06_expanded.gas,Scenario7.arc07_expanded.gas,Scenario7.arc08_expanded.heat
1,0.1543,0.251,0.105,38.80321860304693,47.51620614518968,-8.712987542142749,0.059450411309355494,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.19678139695304,1.0,0.0,0.0,-36.19678139695304,356.19678139695304,347.4837938548103,0.0,8.712987542142749,347.4837938548103,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,36.19678139695304,75.0,8.712987542142749,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
2,0.1543,0.251,0.105,46.88090613447741,16.0593562563854,30.821549878092007,0.059450411309355494,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.88090613447744,1.0,46.88090613447744,309.31587526247563,378.3053437329023,30.821549878092007,0.0,378.3053437329023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.88090613447741,0.0,30.821549878092007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.88090613447744
3,0.1543,0.251,0.105,92.88399926831568,131.51209072472815,-38.62809145641248,0.059450411309355494,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968147,0.32000000000699264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.883999268313673,1.0,17.883999268313673,291.43187599416194,339.6772522764898,0.0,38.62809145641248,339.6772522764898,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,0.0,92.88399926831568,38.62809145641248,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,17.883999268313673
4,0.1543,0.251,0.105,62.08144636603679,20.093998159428416,41.98744820660838,0.059450411309355494,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.918553633965068,1.0,0.0,0.0,-12.918553633965068,304.350429628127,381.6647004830982,41.98744820660838,0.0,381.6647004830982,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,12.918553633965068,75.0,0.0,41.98744820660838,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
5,0.1543,0.251,0.105,68.58174252850482,98.8649943977132,-30.283251869208385,0.059450411309355494,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.418257471497043,1.0,0.0,0.0,-6.418257471497043,310.76868709962406,351.3814486138898,0.0,30.283251869208385,351.3814486138898,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,6.418257471497043,75.0,30.283251869208385,0.0,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
6,0.1543,0.251,0.105,66.05539330483214,62.90504845347847,3.1503448513536654,0.059450411309355494,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.3179999999993092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.944606695169938,1.0,0.0,0.0,-1.9446066951699663,312.713293794794,354.5317934652435,3.1503448513536654,0.0,354.5317934652435,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,1.944606695169938,68.0,0.0,3.1503448513536654,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
7,0.1543,0.251,0.105,64.07779591257393,27.82299978481806,36.254796127755874,0.059450411309355494,320.0,1.0,37.21858864027855,117.03958691910526,68.0,0.5809999999942645,0.3179999999993092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922204087428156,1.0,0.0,0.0,-3.922204087428156,316.6354978822222,390.78658959299935,36.254796127755874,0.0,390.78658959299935,0.0,0.0,117.03958691910526,-37.21858864027855,0.0,37.21858864027855,0.0,3.922204087428156,68.0,0.0,36.254796127755874,0.0,37.21858864027855,0.0,68.0,0.0,0.0,0.0,117.03958691910526,0.0
8,0.1543,0.251,0.105,56.836145404267846,74.3495020579241,-17.513356653656253,0.059450411309355494,320.0,1.0,37.21858864027854,117.03958691910523,68.0,0.5809999999942644,0.31799999999930917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.163854595734229,1.0,0.0,0.0,-11.163854595734222,327.7993524779564,373.2732329393431,0.0,17.513356653656253,373.2732329393431,0.0,0.0,117.03958691910523,-37.21858864027854,0.0,37.21858864027854,0.0,11.163854595734229,68.0,17.513356653656253,0.0,0.0,37.21858864027854,0.0,68.0,0.0,0.0,0.0,117.03958691910523,0.0
9,0.1543,0.251,0.105,54.47261182058495,75.15596550399867,-20.68335368341372,0.059450411309355494,320.0,1.0,37.218588640276295,117.0395869191004,68.0,0.5809999999942721,0.3179999999993015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.527388179415048,1.0,0.0,0.0,-13.527388179415048,341.32674065737143,352.58987925592936,0.0,20.68335368341372,352.58987925592936,0.0,0.0,117.0395869191004,-37.218588640276295,0.0,37.218588640276295,0.0,13.527388179415048,68.0,20.68335368341372,0.0,0.0,37.218588640276295,0.0,68.0,0.0,0.0,0.0,117.0395869191004,0.0
10,0.1543,0.251,0.105,47.91603163903743,8.938516182270618,38.97751545676681,0.059450411309355494,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.095238095238095,119.04761904761905,75.0,0.6299999999968136,0.3200000000069921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.083968360964434,1.0,0.0,0.0,-27.083968360964434,368.41070901833587,391.56739471269617,38.97751545676681,0.0,391.56739471269617,0.0,0.0,0.0,-38.095238095238095,0.0,38.095238095238095,0.0,27.083968360964434,75.0,0.0,38.97751545676681,0.0,0.0,38.095238095238095,0.0,75.0,0.0,0.0,0.0,0.0
